,File,Peak 1,Peak 2,Intensity 1,Intensity 2,Peak Difference,Intensity Difference
0,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc4.txt,380.19376426337146,404.3655356392298,289.61747485995556,243.32102068226476,24.171771375858327,46.296454177690805
1,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc5.txt,380.6821686088668,405.049266281775,256.4265535268337,192.71712543630238,24.367097672908187,63.709428090531304
2,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc2.txt,379.98080549419734,404.93720382424056,368.3170313603814,316.116901515713,24.956398330043214,52.200129844668425
3,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc2.txt,381.3515312286984,402.8255436500624,141.46259899891277,107.46528162997473,21.474012421364023,33.99731736893804
4,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc3.txt,381.40622713120905,402.88934668114604,141.40345089531584,140.9723233699595,21.483119549936987,0.43112752535634513
5,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc3.txt,,,,,,
6,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc1.txt,379.9396466149889,405.1745817336643,402.14181169626477,335.4361528393891,25.234935118675423,66.70565885687569
7,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc2.txt,381.0586773766393,402.7777088043255,70.59369017503833,49.498235276150936,21.719031427686218,21.095454898887397
8,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc3.txt,379.89380470551464,404.02704648658647,275.6353004237325,214.6244722691702,24.13324178107183,61.01082815456226
9,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc1.txt,382.68439543723497,403.6877899063531,33.191147144484496,36.61437260733553,21.00339446911812,3.423225462851036
10,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc4.txt,379.0747254502814,404.5821908762417,308.50917375273906,250.3776377317568,25.507465425960334,58.13153602098225
11,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc5.txt,381.4810060148058,403.1335669593056,82.76043574904297,92.27832098206824,21.652560944499783,9.517885233025268
12,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc1.txt,379.1078509665331,1114.046845050417,4.8689173126782,333.54131480752005,734.9389940838839,328.67239749484185
13,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc2.txt,380.32537278108686,404.78375297640997,210.68920446532042,153.958667843956,24.458380195323116,56.73053662136442
14,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc3.txt,381.33345332173786,403.09300603483814,144.0704925188051,110.96611886771936,21.759552713100277,33.10437365108575
15,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc6.txt,379.492718705608,405.5442287258507,362.0083989164443,289.5317182949851,26.051510020242688,72.4766806214592
16,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc4.txt,380.05546337430235,404.6823773916072,350.63009274289834,271.0330263621324,24.62691401730484,79.59706638076597
17,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc5.txt,381.0101643534302,404.3421918752591,216.8393081028207,189.54229124564867,23.332027521828934,27.297016857172025
18,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc1.txt,378.2419515544536,404.6444912854313,457.0403330673469,330.31565345186414,26.402539730977708,126.72467961548278
19,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc2.txt,380.7551374416148,402.7225937764961,143.87140057275602,102.71100274900992,21.96745633488132,41.160397823746095
20,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc3.txt,380.59673335654065,407.44251925369025,74.71275446044213,48.82013940185512,26.845785897149597,25.892615058587005
21,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc8.txt,377.9698034323201,402.64179748797693,189.89284657040554,180.37458039772176,24.671994055656853,9.51826617268378
22,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc1.txt,379.82765731005503,401.05959971127845,153.15094856397067,160.72108203660548,21.23194240122342,7.570133472634808
23,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc2.txt,378.6354387739996,401.95444258297766,181.79445687002297,166.88944190983986,23.31900380897804,14.90501496018311
24,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc3.txt,378.2687468601017,402.22031646727834,255.5127382823997,228.89893860870848,23.951569607176623,26.613799673691233
25,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc7.txt,377.52913242938644,402.73055223376633,309.80013423965056,314.7699533804723,25.201419804379896,4.969819140821755
26,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc6.txt,378.1918046180674,404.8555823766947,175.69883714498764,90.97915016035526,26.663777758627305,84.71968698463238
27,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc4.txt,379.81962413959883,400.6314543119604,139.32033737973543,132.52249890923318,20.811830172361567,6.797838470502256
28,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc5.txt,377.81749244952,403.11811719452925,305.10540265229935,290.3102462218025,25.30062474500926,14.795156430496831
29,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc1.txt,379.23069603414456,403.2631000256878,127.15455361166025,108.01435028513706,24.03240399154322,19.140203326523192
30,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc2.txt,379.8403528403756,401.63733272815597,93.80635714118011,62.608310647882504,21.796979887780367,31.19804649329761
31,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc3.txt,379.4958548704146,400.993995682604,111.87831597762752,125.8712257379769,21.498140812189433,13.992909760349377
32,Jacky/Shivani/Shivani Sample 11/FeMoS2_2_loc2.txt,401.63705303662215,517.0787252746836,71.93751625062032,31.631849959090697,115.44167223806147,40.30566629152962
33,Jacky/Shivani/Shivani Sample 11/FeMoS2_2_loc1.txt,399.7833058881227,517.2320157647273,97.56022594846893,24.805219078150675,117.4487098766046,72.75500687031825
34,Jacky/Shivani/Shivani Sample 11/FeMoS2_1_loc1.txt,403.28157990860336,517.4013495944652,108.65394470681211,91.40142961884435,114.1197696858618,17.252515087967765
35,Jacky/Shivani/Shivani Sample 11/FeMoS2_1_loc2.txt,402.3244646850296,517.7038606156672,71.38097687971963,48.647713383519864,115.37939593063754,22.73326349619976
36,Jacky/Shivani/Shivani Sample 12/FeMoS2_1_loc1.txt,401.0613694295924,517.1816008755529,78.80873054719287,45.025286825043075,116.12023144596054,33.78344372214979
37,Jacky/Shivani/Shivani Sample 12/FeMoS2_1_loc2.txt,401.24208318517793,517.5899378725594,76.24169023661624,54.19173768503737,116.34785468738147,22.04995255157887
38,Jacky/Shivani/Shivani Sample 13/FeMoS2_1_loc1.txt,400.23567441105905,519.7978089643159,265.55295430546136,64.17725844878737,119.56213455325684,201.37569585667399
39,Jacky/Shivani/Shivani Sample 13/FeMoS2_1_loc2.txt,401.9502884840025,520.5102727132177,322.0142436513693,122.31150345403138,118.55998422921516,199.70274019733796
40,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc1.txt,378.1997078786195,404.2046626262515,599.9140857263117,545.7252996217495,26.004954747631984,54.188786104562155
41,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc2.txt,404.60607465730277,520.7441814713953,306.289137865631,277.94102801230486,116.13810681409257,28.34810985332615
42,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc3.txt,378.409780896442,405.15143320186115,362.47330947596555,328.8932693695954,26.741652305419166,33.58004010637018
