File,Image,E2g,A1g,E2g Intensity,A1g Intensity,Peak Difference,Intensity Difference,Layers
ML Training Data/Raman/Sample 1/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc1.jpg,379.1080911772132,1114.5334666119331,4.874366430191917,333.4648322171456,735.42537543472,328.5904657869537,5
ML Training Data/Raman/Sample 1/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc2.jpg,380.3249598971147,404.7836978459014,210.67928874780813,153.92255811704587,24.45873794878662,56.75673063076226,4
ML Training Data/Raman/Sample 1/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc3.jpg,381.3329682066255,403.0931271492083,144.0668081168608,110.94263788763962,21.760158942582848,33.12417022922119,2
ML Training Data/Raman/Sample 1/MoS2_1_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc4.jpg,380.0548849233664,404.6818291067282,350.5859226968472,270.9530143503888,24.62694418336173,79.63290834645841,4
ML Training Data/Raman/Sample 1/MoS2_1_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc5.jpg,381.0098868073249,404.3421901630738,216.84204419554067,189.50084403674865,23.332303355748937,27.34120015879202,3
ML Training Data/Raman/Sample 1/MoS2_1_loc6.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc6.jpg,379.4923714637537,405.54370081591185,361.9613368055016,289.45529284619727,26.05132935215812,72.50604395930435,5
ML Training Data/Raman/Sample 1/MoS2_2_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc1.jpg,379.93910461743894,405.1739178827322,402.0910956340584,335.3506250372604,25.23481326529333,66.74047059679799,5
ML Training Data/Raman/Sample 1/MoS2_2_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc2.jpg,379.98024997253583,404.9366303455004,368.2773854115801,316.03850758750036,24.95638037296459,52.23887782407974,4
ML Training Data/Raman/Sample 1/MoS2_2_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc3.jpg,,,,,,,5
ML Training Data/Raman/Sample 1/MoS2_3_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc2.jpg,381.3512000001032,402.8256519138485,141.462196605411,107.4438295082822,21.474451913745213,34.0183670971288,2
ML Training Data/Raman/Sample 1/MoS2_3_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc3.jpg,381.4059349997961,402.8895548989311,141.36820112920608,140.9753438028196,21.48361989913502,0.3928573263864905,2
ML Training Data/Raman/Sample 1/MoS2_3_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc4.jpg,380.193333931347,404.3654033952697,289.61040723197885,243.2593096000646,24.172069463922696,46.35109763191426,4
ML Training Data/Raman/Sample 1/MoS2_3_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc5.jpg,380.6816722529245,405.04912449916486,256.4224204078812,192.66114069519776,24.36745224624042,63.76127971268343,4
ML Training Data/Raman/Sample 1/MoS2_4_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc1.jpg,382.683515403028,403.68773713208407,33.185064597357304,36.61836865008368,21.0042217290561,3.4333040527263776,2
ML Training Data/Raman/Sample 1/MoS2_4_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc2.jpg,381.0581637260645,402.7778047242601,70.59640772108473,49.48499900914692,21.719640998195587,21.111408711937813,2
ML Training Data/Raman/Sample 1/MoS2_4_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc3.jpg,379.8934032488221,404.02691908190457,275.62503270231684,214.5821107908577,24.13351583308247,61.04292191145913,4
ML Training Data/Raman/Sample 1/MoS2_4_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc4.jpg,379.0742353637778,404.5817772860683,308.483819911125,250.3183712227726,25.5075419222905,58.1654486883524,5
ML Training Data/Raman/Sample 1/MoS2_4_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc5.jpg,381.48081306557384,403.1336632034044,82.74716636350131,92.28147277713953,21.65285013783057,9.53430641363822,2
ML Training Data/Raman/Sample 11/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 11/FeMoS2_1_loc1.jpg,403.2815793496074,517.4012009285301,108.65312729240964,91.39831355555022,114.1196215789227,17.25481373685942,5
ML Training Data/Raman/Sample 11/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 11/FeMoS2_1_loc2.jpg,402.3244130733033,517.70374960911,71.37341447841487,48.64351923892946,115.37933653580671,22.729895239485415,5
ML Training Data/Raman/Sample 11/FeMoS2_2_loc1.txt,ML Training Data/Raman/Sample 11/FeMoS2_2_loc1.jpg,399.9407758477589,517.2318936069868,97.54338382530425,25.692778694404357,117.29111775922786,71.85060513089988,5
ML Training Data/Raman/Sample 11/FeMoS2_2_loc2.txt,ML Training Data/Raman/Sample 11/FeMoS2_2_loc2.jpg,401.6188637386642,517.0785731135101,71.93096788313423,31.106966098860376,115.45970937484589,40.824001784273854,5
ML Training Data/Raman/Sample 12/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 12/FeMoS2_1_loc1.jpg,401.06121170081906,517.1814397630492,78.7983072905321,45.01703225942583,116.12022806223013,33.78127503110626,5
ML Training Data/Raman/Sample 12/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 12/FeMoS2_1_loc2.jpg,401.24203744121974,517.5899665952213,76.22124285885164,54.17357978241172,116.34792915400158,22.04766307643992,5
ML Training Data/Raman/Sample 13/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 13/FeMoS2_1_loc1.jpg,400.23838934132704,519.7999349356403,265.48376966752886,64.1916865136644,119.56154559431326,201.29208315386447,5
ML Training Data/Raman/Sample 13/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 13/FeMoS2_1_loc2.jpg,401.95019331987953,520.5133290937581,321.9090369650425,122.3021689606442,118.56313577387856,199.6068680043983,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc1.jpg,378.1996073469521,404.20152251224056,599.6949874212253,545.5297284034943,26.001915165288437,54.16525901773093,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc2.jpg,404.6061888189185,520.7477920947528,306.15836365881665,277.9468947589165,116.14160327583426,28.21146889990013,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc3.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc3.jpg,378.4099190371996,405.1391504114664,354.62603375238984,328.32405877278825,26.729231374266817,26.301974979601596,5
ML Training Data/Raman/Sample 17/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc1.jpg,382.91240441333406,521.0192624911535,338.34154973135014,283.045761906437,138.10685807781948,55.295787824913134,5
ML Training Data/Raman/Sample 17/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc2.jpg,380.32297372898,406.0815291819705,565.2098468985021,384.26637802909954,25.758555452990493,180.94346886940252,5
